item,itemLabel,location,image,logo
http://www.wikidata.org/entity/Q7842,University of Tokyo,Point(139.76232 35.71339),http://commons.wikimedia.org/wiki/Special:FilePath/Yasuda%20Auditorium%20-%20Tokyo%20University%203.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/UnivOfTokyo%20logo.svg
http://www.wikidata.org/entity/Q13371,Harvard University,Point(-71.116943888 42.374443888),,http://commons.wikimedia.org/wiki/Special:FilePath/Harvard%20University%20logo.svg
http://www.wikidata.org/entity/Q15568,University of Hong Kong,Point(114.137777777 22.284166666),http://commons.wikimedia.org/wiki/Special:FilePath/The%20University%20of%20Hong%20Kong.jpg,
http://www.wikidata.org/entity/Q15570,The Chinese University of Hong Kong,Point(114.206791666 22.419722222),http://commons.wikimedia.org/wiki/Special:FilePath/Chinese%20University%20of%20Hong%20Kong%20%E9%A6%99%E6%B8%AF%E4%B8%AD%E6%96%87%E5%A4%A7%E5%AD%B8.JPG,
http://www.wikidata.org/entity/Q23308,British Library,Point(-0.126944 51.529444),http://commons.wikimedia.org/wiki/Special:FilePath/British%20Library%20%2B%20St%20Pancras%207527-31hug.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/BritishLibrary.svg
http://www.wikidata.org/entity/Q34433,University of Oxford,Point(-1.255 51.755),http://commons.wikimedia.org/wiki/Special:FilePath/1%20oxford%20aerial%20panorama%202016.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Oxford-University-Circlet.svg
http://www.wikidata.org/entity/Q35794,University of Cambridge,Point(0.113157269 52.205355979),http://commons.wikimedia.org/wiki/Special:FilePath/St%20John%27s%20College%20Second%20Court%2C%20Cambridge%2C%20UK%20-%20Diliff.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/University%20of%20Cambridge%20International%20Examinations.svg
http://www.wikidata.org/entity/Q41506,Stanford University,Point(-122.1688576 37.4282293),http://commons.wikimedia.org/wiki/Special:FilePath/Stanford%20Oval%20May%202011%20panorama.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Stanford%20wordmark%20%282012%29.svg
http://www.wikidata.org/entity/Q49108,Massachusetts Institute of Technology,Point(-71.091944444 42.359722222),http://commons.wikimedia.org/wiki/Special:FilePath/MIT%20Main%20Apr09.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/MIT%20logo.svg
http://www.wikidata.org/entity/Q49112,Yale University,Point(-72.926666666 41.311111111),http://commons.wikimedia.org/wiki/Special:FilePath/Yale%20Law%20School%20in%20the%20Sterling%20Law%20Building.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Yale%20University%20Shield%201.svg
http://www.wikidata.org/entity/Q49114,Brown University,Point(-71.40325 41.826167),http://commons.wikimedia.org/wiki/Special:FilePath/Manning%20Chapel.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Brown%20University%20logo.svg
http://www.wikidata.org/entity/Q49115,Cornell University,Point(-76.483055555 42.447222222),http://commons.wikimedia.org/wiki/Special:FilePath/Cornell%2BUniversity.jpg,
http://www.wikidata.org/entity/Q49117,University of Pennsylvania,Point(-75.193055555 39.953888888),http://commons.wikimedia.org/wiki/Special:FilePath/Penn%20campus%202.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/UPenn%20shield%20with%20banner.svg
http://www.wikidata.org/entity/Q82133,Bodleian Library,Point(-1.255138888 51.753972222),http://commons.wikimedia.org/wiki/Special:FilePath/Oxford%20stad%202016%2006.JPG,
http://www.wikidata.org/entity/Q131626,Smithsonian Institution,,http://commons.wikimedia.org/wiki/Special:FilePath/Smithsonian%20Castle%20Aerial%20highsmith.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Smithsonian%20sun%20logo%20no%20text.svg
